source,target,label
944801,629622,1
499599,1336974,1
1100746,1192532,0
1199676,761735,0
960249,101659,1
113860,314307,0
1682517,308462,0
1652753,521283,1
375671,660400,1
1420556,223465,0
1076814,1217624,0
548480,277423,1
1445947,1122875,1
1001567,889562,0
10538,165786,0
344623,84922,0
1454955,728933,0
1383793,268239,0
1502116,837040,1
834332,96165,0
378679,558474,0
1022971,564635,0
248411,479035,0
1178137,1476144,0
119305,1536205,1
1331825,1456747,0
1034798,298578,0
1624604,961387,1
1221915,170406,1
1034626,1348843,0
1059457,737576,1
1248886,1300492,0
1179690,879708,1
611147,769354,0
871016,351216,1
1358325,1308253,1
154199,996287,1
529448,1228040,1
1134936,1292528,0
1429431,1424072,1
1674686,49448,1
325726,436249,0
1471676,539463,0
1307702,1662359,1
1131555,909692,0
68383,715884,0
364412,96421,0
550118,913146,0
249686,958423,0
225511,999603,0
419761,428495,1
103095,1269858,0
814741,830146,0
1604501,668076,0
12977,1684255,1
430989,704011,0
444659,1104216,1
1265171,678498,0
1491175,714673,0
474750,87332,0
1003214,304248,1
1476144,972112,1
1182245,75804,1
351296,930089,0
1541300,346215,1
257526,206745,1
1441757,660400,1
1281869,1454012,1
1190335,114381,1
168088,418182,1
505275,468849,1
572221,645008,0
539472,486182,1
251386,518343,0
710239,254434,1
1180133,1103935,1
550562,776283,0
73295,1111284,1
705406,190668,1
309862,53103,1
589559,163192,1
60206,1604953,1
1629948,745061,0
853337,1694771,1
778142,924006,1
524854,769354,0
1176775,1145811,1
284876,251386,1
357355,429272,1
108781,1415977,1
191117,768508,0
896346,900311,0
1246853,1278138,1
1242887,443765,0
1361672,864710,1
256009,1365774,1
923501,992143,0
373580,741208,1
152108,750221,0
154199,581683,1
1000121,1184178,0
1535173,853064,0
721550,85722,1
1337018,308700,1
1041031,750923,1
1205350,148193,0
1658814,746310,0
397442,1415541,1
59275,1077669,1
1043831,1583526,0
1001567,1612031,0
429955,185697,1
59163,240890,1
1373433,874260,0
1180133,1336703,1
379494,697588,1
750212,1402747,1
664132,714866,0
1444239,416787,0
1270087,449428,0
368752,785257,1
484718,1328202,1
105681,81377,1
550562,850531,1
1008834,47907,0
529448,334053,1
1049519,382143,0
146667,4710,0
113726,798081,0
19209,223813,0
68383,433520,1
1650116,312867,0
136414,207557,0
1661420,537310,0
51375,722136,1
210125,720173,0
301349,398288,1
1242094,1331185,0
61802,1644915,1
487680,521479,0
414586,239693,1
660660,14991,1
1599542,1124583,1
1020652,298188,0
251386,408698,0
112152,665451,0
114378,1371176,0
1089867,647789,0
1497900,839537,0
1115327,1518063,1
1358004,528592,0
498115,325134,1
1281340,95720,0
1653767,282818,0
330621,1622708,1
1176775,834401,1
103771,110043,1
1522296,560609,1
346483,844630,0
1654723,218566,0
1642670,902781,0
1181989,772728,0
212125,1469444,1
1192080,529917,0
768820,631410,1
50512,608873,0
1262396,839722,0
534983,564647,1
1116452,1400829,0
1352415,1394801,1
1372997,536366,0
1541300,515706,0
535474,923756,1
1581593,169951,0
854789,1246853,1
1687368,833930,0
1107607,864779,1
1089867,248513,0
1668620,749172,1
1614384,815781,0
1141334,1118631,1
1214036,507831,0
103771,377959,1
960114,1661720,1
1181404,941283,0
377516,868401,0
178734,232824,0
876107,1227585,1
1488488,1173810,1
334653,650987,0
1701254,242616,0
1404472,146108,0
1329212,1707901,0
1070841,1633876,1
1218965,479823,0
542468,634547,1
959703,1075930,1
648221,594606,1
1078249,690059,1
285685,572563,1
41417,280473,1
853378,998928,0
1550424,560609,1
282818,488973,0
61565,690405,0
1645967,516492,1
1340324,704845,0
1005482,1508847,1
528592,1297834,1
1100542,922201,0
1541300,132033,1
1378806,682381,0
309862,1034494,1
1453075,1580523,0
206745,433520,0
744495,1226852,1
454681,759967,1
240890,548934,0
698200,829,1
189033,1354679,1
51375,383162,1
1264776,1249989,1
1691674,368752,0
251386,1157792,1
1459462,1640682,0
1398350,211129,0
1183403,203583,1
1004420,1042207,1
1332837,492570,0
1370975,1421824,0
210003,1351627,1
81039,862108,1
1027542,847788,0
1656696,479823,0
515983,900949,0
117310,1111263,1
536253,537080,1
1050187,503250,1
808745,1342043,1
260837,381646,0
494651,537025,1
388726,348732,1
1644221,40948,1
1611242,913146,0
1266006,1543257,1
179662,663103,0
1145811,1037800,1
1503969,947255,0
180549,985058,0
1498963,621099,1
1060834,310508,0
631695,944197,0
22052,638301,0
103771,1174238,1
959487,917886,1
641333,737382,0
1649539,165786,0
1435593,1537357,0
830611,715458,1
187684,480422,0
849426,1611242,1
1517860,351216,1
459571,339765,1
761735,23517,1
1584812,636504,1
475667,1161824,1
1009848,1352423,0
1535684,868401,0
1367552,535474,0
1281869,1650436,0
750923,138491,1
372523,1273833,1
1312110,520487,1
411415,564647,1
481414,675673,0
1333894,566451,0
1058310,417924,0
515625,933463,0
212125,196480,1
330621,1654636,1
760054,364228,1
1531103,244662,1
1556884,480143,0
178590,112104,1
1579038,807442,0
592122,59275,1
148887,52397,1
1059323,392383,1
1232303,1037800,1
125338,1521024,0
1359123,782472,1
45318,1622199,1
444434,339801,1
356563,393301,0
516492,721172,0
589767,56024,1
1396214,353330,0
444434,1359477,1
107818,103771,1
745061,1062283,1
1673593,538016,1
1509498,810861,0
302909,392846,0
1345337,252131,0
1516086,467619,1
444434,6305,1
56968,788966,0
1351669,869828,0
1475676,900027,0
1654405,862622,0
1578178,138225,1
1690809,918062,0
1233651,655754,0
330621,1206159,1
1265171,19209,1
879708,321405,1
721799,933344,1
1031381,537080,0
153583,232824,0
1254976,188543,1
1183494,363100,1
921079,170406,1
956128,1603951,1
795834,299245,1
1268629,409877,1
1337021,1689969,0
1348919,650569,0
1642607,71706,0
410467,1002535,1
1461810,812738,0
19104,983392,0
1517860,1161824,1
928042,1584812,1
575664,812738,0
1572935,1076833,1
1406172,205792,1
670497,1480751,1
206745,1512588,1
344592,52623,1
261054,895292,0
1293610,578542,0
363100,503536,1
1418431,556375,0
630878,1141591,1
61802,1294618,1
1356285,596710,0
520918,292924,1
924731,1025967,1
1447843,953932,0
157741,327158,0
1184178,231214,1
203094,838287,0
475667,506263,1
539920,1658458,1
459446,95684,0
388269,1035193,1
1652917,389639,1
1100184,1636973,0
1228169,429272,1
1310346,840721,1
1107607,1484444,1
1252358,1282616,0
1020652,920654,1
1172405,1488916,0
1444778,899680,0
1094322,1241208,1
492115,856104,0
359699,366654,1
1554982,802694,1
23814,351166,0
1115497,392787,0
1303797,1385286,0
746239,771375,0
1100746,1506039,0
1336703,479548,0
391884,1512375,1
63303,948153,0
513566,344012,1
1159410,414006,0
1378584,555921,0
702501,1335289,1
1143908,152831,0
1401331,300285,0
1569896,437004,0
1264144,752916,0
1352744,410871,1
1348843,86619,0
554186,783256,1
557970,1321801,1
1667211,509999,0
1488488,1056927,1
114467,587803,1
1228465,1574975,0
641333,569942,1
1466580,191910,0
430989,963405,0
145820,518140,0
210003,1673173,1
1502116,564331,1
141263,1663980,0
482062,1361489,1
479035,699932,0
1394935,168043,0
261084,311239,0
1536746,685564,1
1481878,1524164,1
1502915,847782,0
1256297,1020652,1
1479371,320141,0
1108262,1133969,0
766208,891971,0
1359310,582113,0
472266,338978,1
452532,459239,0
1285461,1661720,0
1650438,1278138,1
1603951,826803,1
1233315,112152,1
75289,802292,1
1049527,1529270,1
1673952,724649,0
1256297,554186,0
1167054,1356285,0
1669266,320141,0
239676,961387,1
1178137,505075,0
394923,480139,0
1052897,970354,0
1329053,940713,0
1459688,1579038,0
1215253,564586,1
1143613,148825,0
1013063,297775,0
321405,73087,1
1096291,1131446,0
71706,1260502,1
1232370,1524589,0
514053,699932,1
1337021,616603,0
330621,622620,1
1562116,696882,1
1582994,459446,0
1590553,1607772,1
1296516,1111284,1
1492045,498516,0
1565604,345180,0
1453103,839599,1
571031,1541300,1
1528707,494157,0
1201224,467619,1
460172,535819,1
1076323,39625,0
1076252,794894,0
61802,107818,1
1476144,1253938,1
1134936,610610,0
1142024,45221,0
62054,946916,0
723262,853337,1
401451,650568,0
1227585,51473,1
246853,307303,0
649641,1046508,1
1071223,1184089,0
122227,947485,0
100258,718792,0
430071,68739,0
1403074,799061,0
1555106,867317,1
1404249,1636614,0
1671493,1525278,1
651175,831322,0
1684220,997981,0
718743,26894,1
33262,68036,1
430071,304248,1
1663980,1593631,1
1510053,1513944,0
408727,160037,1
196123,997981,0
1362795,508781,1
151980,592537,1
103771,264244,1
114381,1351842,0
1025111,686909,0
1505737,537399,0
1475651,805053,0
1341993,1116370,1
1456747,775967,0
1057820,656619,0
1008929,1636595,0
610610,80938,0
1168967,1544530,1
1574918,112539,1
719058,931385,0
764668,793311,0
791533,1622199,1
1504678,400836,1
1329290,1664461,0
1058828,1297467,0
196244,378590,0
1619667,275366,0
1573353,865921,0
1668620,630878,1
1317306,970874,0
1159377,68353,0
332690,1053346,1
1056891,1513521,0
1171982,833207,1
994030,392765,1
1553770,791307,0
1604701,81377,0
1132481,177476,0
1535577,894187,1
1041031,62478,1
158835,179290,0
1652917,53502,0
1578178,1100095,1
1068632,1624604,1
1523747,47566,0
987641,73087,1
264227,431237,0
1532573,850187,1
52397,1371519,1
486738,560243,0
1503969,424047,0
432400,329568,1
634547,911034,0
1017874,1310186,1
1129548,592960,0
550025,1005011,1
1122053,494523,1
252467,39190,1
563073,557965,1
1333428,470901,1
1336104,1432489,0
136190,1567063,0
1557439,724264,1
718743,849647,1
1201224,108781,1
293806,683420,0
261561,9222,1
126430,947255,0
1099477,1654359,0
1668702,1578433,1
1156241,512041,0
1665430,800658,0
353330,510435,0
1620120,264601,0
1358004,1394164,0
628865,994528,1
437765,8563,0
1352423,467778,0
224808,83190,0
1232370,524305,0
360067,518343,0
1301749,788966,0
82815,650568,1
185697,320141,0
1039001,668076,1
101381,252467,0
1180162,1646625,0
330621,70786,1
1404277,1603298,0
570386,603423,1
113695,1158468,0
1333428,480963,0
330965,794181,0
1632490,446467,0
424110,808416,0
723262,630878,1
1319455,539463,1
1611622,448583,1
98793,409877,1
709475,62953,1
1259849,72246,0
1201793,182882,1
529448,994971,1
1115327,834981,1
80938,621286,1
904209,542661,1
1100746,197107,1
444659,521933,1
148887,363100,1
1470498,869109,0
1086298,1202449,0
596110,956814,0
1153844,1603848,1
1070279,709475,1
12768,1619494,0
325726,349794,1
356563,1305932,1
844630,847706,0
1229300,922970,0
520721,710261,0
1188609,353356,1
793218,581105,1
537439,552398,1
307153,519625,0
1013454,1056927,0
1535577,332690,0
516383,1266944,1
662340,930227,0
1262396,1380562,0
1359123,511707,1
1337018,264587,1
1029374,582113,0
390179,407283,0
377513,1299468,1
1351935,647444,1
513676,709873,0
1331825,645008,0
246853,325706,0
1018231,157224,0
1324816,145606,0
1329290,400010,0
1353788,920654,1
519530,704011,0
1603042,912706,0
250899,859807,0
762471,1022971,1
1228675,98885,1
1461810,189746,0
639182,579282,1
1445947,94845,1
887462,40948,1
1086423,196123,0
1683207,462074,0
257046,359734,0
1663980,1647326,1
486182,1442483,1
1341144,866360,0
359734,768963,0
1027359,27038,0
134313,158103,0
1179053,333587,0
552396,947255,1
1691928,527592,0
1364458,590677,0
193933,529917,1
1159241,1678920,0
1181989,616600,0
1487933,621658,1
180317,368616,1
1419662,1691789,1
1454985,200750,0
1588665,558218,0
595066,750955,0
109093,1297485,1
1115327,710261,1
1652753,13840,1
773863,1136546,1
498495,210268,1
107818,1535684,1
767695,620025,1
992959,1128648,1
890874,972795,0
648457,575664,1
495185,397442,1
1704813,731855,1
622872,845719,0
180931,893020,0
528740,906139,0
1155813,1381738,0
51375,1351693,1
1578331,527116,0
581683,1005011,1
258512,666325,1
1244867,1613443,0
289108,308592,1
1159377,862320,0
463108,444434,1
1643464,798041,0
371176,754408,0
308978,385675,0
1098798,1666745,0
1020652,875462,0
1481218,598179,0
275095,478641,1
1394935,1553929,0
1245375,1297252,1
239175,176790,1
310154,832901,0
1694670,199072,0
299960,398189,0
777162,955392,0
452121,971141,0
310508,521479,0
954963,1335289,1
103771,24556,1
877829,239868,1
1342043,1058915,1
1173249,259149,0
1391963,1509664,0
1649539,360067,0
467778,874713,0
1422598,971740,0
161821,666281,1
1616775,114381,1
582895,833148,0
261677,308019,0
69641,808416,0
378676,590426,0
1104216,70330,0
245552,783907,1
1037221,837651,0
1181406,1221915,1
924274,841540,1
460172,485247,1
1421289,736824,0
454135,630444,0
1226063,1538650,0
1278613,1696376,0
282797,775369,0
224307,259149,0
386161,537399,1
564647,158835,1
348461,577677,0
1606928,227841,1
1580590,796944,0
607060,1569896,1
125320,26778,0
1084581,671806,0
850052,483732,1
683070,1678071,1
1099477,322550,0
201002,77993,0
564586,62953,0
1030556,1058915,0
467508,1326780,1
513631,695589,0
1140475,1147885,1
1352238,1400524,0
