source,target,weight
0,606,0.9811555
0,335,0.98500174
0,2797,0.9869033
0,1072,0.99429744
0,529,0.9961351
1,1919,0.993167
1,493,0.997502
1,180,0.99773216
1,3408,0.9978873
1,2088,0.99833137
1,1314,0.99908555
1,925,0.99933016
1040,312,0.9752256
529,2088,0.99469525
529,1978,0.99628145
529,1314,0.9973393
529,925,0.99755377
529,2382,0.9983903
4113,4436,0.9667808
4113,1716,0.9682648
4113,2321,0.96865314
4113,2788,0.9731861
530,3038,0.98557407
530,180,0.9940949
530,2383,0.9942585
530,546,0.99533147
1556,1822,0.98916537
1556,1222,0.9924523
3607,1781,0.9901203
3607,2515,0.9952095
536,1994,0.97112143
540,302,0.97032744
3101,454,0.98078376
1055,2549,0.97094417
1055,495,0.98429245
545,1978,0.9777108
545,1264,0.98177654
545,1813,0.9818841
546,1977,0.98834246
546,3038,0.9900709
546,2128,0.9985083
546,621,0.9992029
2088,335,0.9689388
2088,1976,0.9921836
2088,1073,0.9955462
2088,888,0.99721235
2088,621,0.998302
2093,312,0.9777916
2093,2119,0.9897367
2093,437,0.9933227
2093,52,0.9938564
1072,888,0.99209386
1072,1978,0.9935235
1072,1976,0.9954016
1073,1464,0.9916339
1073,3563,0.9937388
1073,1424,0.9966905
1073,1976,0.9968561
52,312,0.98054254
65,3385,0.9636204
2119,2255,0.98765963
2119,933,0.9906606
2119,2485,0.9914943
585,1424,0.9946201
585,1264,0.9950003
585,1976,0.9970693
585,493,0.99810225
585,2128,0.9984484
73,937,0.98241985
1609,728,0.96877307
1609,684,0.98585653
1609,2842,0.99470973
586,2383,0.97534925
586,1813,0.9934157
586,1424,0.99416476
586,888,0.9974775
1611,802,0.9842104
1611,497,0.9909169
1611,223,0.9962219
3662,312,0.9800628
3662,300,0.9895242
2128,1464,0.99289286
2128,1264,0.9971246
2128,888,0.99747604
2128,180,0.9988476
1105,410,0.9891025
1616,1222,0.9906799
3156,2369,0.9726499
3156,684,0.978297
606,1978,0.9726136
606,3038,0.973343
607,937,0.9905944
100,175,0.9921836
1130,121,0.9794826
621,3038,0.98819834
621,3563,0.98962677
621,2383,0.99614656
621,493,0.9972976
621,888,0.99863774
621,925,0.9992781
1650,140,0.9866238
121,1659,0.9936824
121,223,0.99633646
3194,1318,0.97448325
3194,2756,0.9875848
3194,861,0.9883646
3194,1659,0.99140114
2683,359,0.9935436
647,1306,0.98050183
647,2756,0.9811715
647,1822,0.9889079
2699,358,0.98673636
140,1194,0.9944359
1679,287,0.98250693
1168,3301,0.97272015
1168,1355,0.9952809
1174,828,0.98343
1174,802,0.9967933
153,1244,0.99384695
4250,2746,0.98410577
2721,312,0.97874326
2721,1267,0.98963004
1188,359,0.9896605
4266,312,0.97762144
4266,437,0.9959596
1194,1892,0.98943126
688,1994,0.9731496
688,3464,0.9842265
1716,1743,0.97098947
1716,1318,0.9761248
1716,4436,0.9792302
1716,4075,0.99253476
180,1464,0.9855444
180,1919,0.99033546
180,1314,0.99755305
180,2383,0.9975727
2746,2255,0.9861503
